nom,age,langue,genre,nombre_enfant,titre,salaire
James,46.0,chinois,Masculin,7,Fonctionaire,269533.0
Haroun,71.0,arabe,Masculin,6,Fonctionaire,414675.0
Sherif,63.0,Russe,Masculin,4,Fonctionaire,273929.0
Cisse,60.0,Allemand,Masculin,0,Fonctionaire,467578.0
Robert,43.0,Allemand,Feminin,7,Retraite,762622.0
James,91.0,Espagnol,Feminin,1,Retraite,101241.0
Yussef,86.0,arabe,Masculin,0,Cadre superieur,579135.0
Yussef,34.0,Allemand,Feminin,6,Retraite,541166.0
Haroun,38.0,arabe,Masculin,3,Independant,371988.0
Robert,85.0,arabe,Masculin,4,Retraite,766092.0
Diop,90.0,Allemand,Masculin,6,Cadre superieur,332980.0
Haroun,64.0,anglais,Masculin,5,Retraite,726995.0
Cisse,42.0,chinois,Masculin,0,Cadre superieur,827311.0
George,45.0,Russe,Masculin,5,Cadre superieur,727220.0
Haroun,51.0,francais,Masculin,3,Cadre superieur,197671.0
Rebeca,56.0,chinois,Masculin,2,Retraite,629566.0
Haroun,61.0,chinois,Masculin,6,Cadre superieur,419493.0
Rebeca,53.0,Russe,Feminin,4,Independant,256749.0
Cisse,50.0,arabe,Masculin,1,Cadre superieur,788164.0
George,66.0,Russe,Feminin,2,Cadre superieur,202975.0
Eric,61.0,francais,Masculin,7,Retraite,192453.0
Moussa,76.0,Russe,Masculin,1,Fonctionaire,481519.0
Haroun,66.0,Russe,Masculin,4,Fonctionaire,319068.0
Rebeca,40.0,anglais,Masculin,2,Independant,678315.0
Diop,29.0,chinois,Feminin,7,Independant,835555.0
James,60.0,Espagnol,Masculin,7,Fonctionaire,260433.0
Ali,96.0,francais,Feminin,5,Independant,725363.0
Moussa,73.0,Russe,Feminin,0,Retraite,808944.0
Sherif,49.0,arabe,Masculin,4,Cadre superieur,115072.0
Cisse,51.0,chinois,Feminin,0,Fonctionaire,421463.0
Ali,80.0,chinois,Feminin,4,Cadre superieur,529465.0
Eric,82.0,Espagnol,Masculin,4,Fonctionaire,124117.0
Abakar,37.0,Russe,Feminin,5,Retraite,134733.0
George,51.0,chinois,Feminin,5,Independant,88489.0
Sherif,37.0,chinois,Masculin,7,Cadre superieur,620204.0
Haroun,43.0,chinois,Masculin,4,Cadre superieur,185351.0
Rebeca,94.0,Espagnol,Feminin,2,Fonctionaire,578292.0
Sherif,55.0,francais,Masculin,4,Fonctionaire,720309.0
Haroun,63.0,Espagnol,Feminin,5,Retraite,194195.0
Abakar,76.0,Allemand,Masculin,5,Cadre superieur,713266.0
Ali,54.0,Allemand,Feminin,7,Cadre superieur,476937.0
Haroun,37.0,Russe,Masculin,5,Fonctionaire,751048.0
Moussa,36.0,chinois,Feminin,5,Independant,81590.0
Diop,60.0,francais,Feminin,5,Independant,482817.0
George,64.0,arabe,Masculin,4,Fonctionaire,793986.0
Cisse,52.0,Russe,Feminin,1,Fonctionaire,217717.0
Robert,78.0,arabe,Feminin,1,Fonctionaire,482914.0
Robert,32.0,anglais,Feminin,3,Retraite,811854.0
Ali,33.0,Espagnol,Feminin,5,Retraite,461048.0
Fatima,61.0,anglais,Feminin,4,Independant,177273.0
George,54.0,chinois,Feminin,7,Retraite,498760.0
Diop,35.0,francais,Masculin,4,Independant,
Ali,32.0,Allemand,Feminin,3,Independant,616405.0
Abakar,35.0,Allemand,Masculin,3,Fonctionaire,888546.0
Moussa,33.0,anglais,Masculin,3,Retraite,702271.0
Haroun,71.0,chinois,Masculin,0,Independant,542125.0
Cisse,70.0,Espagnol,Feminin,2,Independant,338905.0
Yussef,53.0,francais,Masculin,7,Cadre superieur,436316.0
Yussef,40.0,francais,Masculin,3,Independant,870836.0
George,92.0,francais,Feminin,4,Cadre superieur,187015.0
Sherif,64.0,chinois,Masculin,5,Cadre superieur,251655.0
Abakar,65.0,arabe,Masculin,1,Fonctionaire,516383.0
Cisse,47.0,francais,Masculin,2,Independant,102918.0
Rebeca,81.0,Russe,Masculin,1,Cadre superieur,211429.0
Fatima,58.0,anglais,Masculin,2,Fonctionaire,469687.0
Ali,96.0,francais,Masculin,4,Fonctionaire,443183.0
Fatima,69.0,Espagnol,Masculin,7,Cadre superieur,762851.0
Robert,,Allemand,Masculin,2,Independant,438778.0
Moussa,37.0,anglais,Masculin,6,Retraite,743128.0
Sherif,88.0,Russe,Masculin,6,Cadre superieur,715045.0
Ali,69.0,Russe,Feminin,1,Fonctionaire,112756.0
Cisse,93.0,francais,Feminin,7,Fonctionaire,243602.0
Haroun,76.0,Russe,Masculin,3,Fonctionaire,487009.0
Eric,69.0,anglais,Masculin,6,Retraite,797554.0
George,38.0,Espagnol,Masculin,6,Fonctionaire,577738.0
Robert,31.0,Espagnol,Masculin,7,Retraite,740427.0
Ali,47.0,Espagnol,Masculin,3,Cadre superieur,314629.0
Diop,41.0,Allemand,Masculin,4,Independant,555531.0
Cisse,34.0,francais,Feminin,1,Independant,387663.0
Ali,49.0,Espagnol,Masculin,4,Cadre superieur,536702.0
Sherif,28.0,arabe,Feminin,1,Fonctionaire,297180.0
Robert,40.0,arabe,Masculin,5,Independant,780689.0
Yussef,72.0,Allemand,Feminin,5,Independant,483571.0
Haroun,56.0,Russe,Feminin,3,Cadre superieur,878726.0
Fatima,63.0,Espagnol,Masculin,2,Cadre superieur,697951.0
George,37.0,francais,Masculin,3,Cadre superieur,624151.0
Fatima,70.0,Allemand,Masculin,4,Fonctionaire,
Ali,54.0,chinois,Feminin,1,Fonctionaire,179621.0
Sherif,70.0,anglais,Masculin,0,Fonctionaire,224058.0
Haroun,36.0,chinois,Masculin,1,Cadre superieur,183663.0
James,30.0,Russe,Feminin,0,Cadre superieur,788527.0
Abakar,45.0,anglais,Masculin,3,Cadre superieur,871013.0
Eric,72.0,Russe,Feminin,2,Retraite,
Abakar,56.0,chinois,Feminin,3,Fonctionaire,315828.0
Robert,81.0,Espagnol,Feminin,7,Fonctionaire,373799.0
Fatima,79.0,chinois,Masculin,2,Independant,529986.0
Fatima,43.0,chinois,Feminin,7,Cadre superieur,603944.0
Abakar,47.0,anglais,Feminin,7,Fonctionaire,779339.0
Yussef,62.0,Allemand,Masculin,7,Fonctionaire,228941.0
Robert,68.0,francais,Masculin,0,Independant,559619.0
Diop,76.0,arabe,Feminin,4,Independant,289481.0
Sherif,70.0,Russe,Feminin,6,Retraite,621661.0
George,39.0,arabe,Masculin,7,Fonctionaire,708525.0
Robert,79.0,Allemand,Feminin,7,Cadre superieur,812430.0
Ali,31.0,Espagnol,Masculin,2,Cadre superieur,389187.0
Fatima,50.0,Espagnol,Feminin,0,Fonctionaire,831033.0
Abakar,72.0,arabe,Masculin,5,Retraite,495774.0
Yussef,28.0,Allemand,Masculin,6,Retraite,87879.0
Yussef,48.0,francais,Feminin,2,Retraite,478813.0
Abakar,89.0,anglais,Feminin,7,Cadre superieur,417384.0
Yussef,45.0,francais,Masculin,2,Cadre superieur,491410.0
James,30.0,francais,Masculin,6,Fonctionaire,668390.0
George,77.0,Allemand,Feminin,2,Independant,174491.0
Yussef,73.0,francais,Feminin,5,Fonctionaire,806181.0
Haroun,67.0,francais,Masculin,2,Fonctionaire,214484.0
Robert,58.0,francais,Masculin,0,Retraite,678092.0
George,78.0,Russe,Masculin,7,Independant,438317.0
Fatima,82.0,arabe,Masculin,4,Independant,597453.0
James,73.0,chinois,Feminin,0,Cadre superieur,703071.0
James,56.0,Allemand,Feminin,3,Independant,188524.0
George,89.0,arabe,Masculin,5,Fonctionaire,427916.0
George,35.0,arabe,Masculin,6,Retraite,217584.0
Fatima,94.0,Allemand,Masculin,6,Cadre superieur,514292.0
Abakar,42.0,arabe,Feminin,4,Cadre superieur,480979.0
Haroun,52.0,Espagnol,Feminin,1,Cadre superieur,755133.0
George,96.0,anglais,Masculin,0,Retraite,844121.0
Sherif,53.0,Russe,Feminin,2,Retraite,626571.0
Yussef,55.0,Espagnol,Masculin,4,Retraite,823113.0
Fatima,47.0,Allemand,Feminin,6,Cadre superieur,767747.0
Yussef,30.0,Espagnol,Masculin,6,Retraite,496686.0
Sherif,38.0,francais,Masculin,3,Independant,840684.0
James,41.0,francais,Feminin,1,Independant,352006.0
Haroun,,Russe,Masculin,2,Cadre superieur,424216.0
Eric,74.0,arabe,Feminin,3,Independant,826590.0
Cisse,34.0,arabe,Feminin,6,Fonctionaire,154765.0
Moussa,36.0,Allemand,Masculin,3,Cadre superieur,144791.0
Yussef,30.0,anglais,Masculin,5,Retraite,582369.0
Eric,29.0,Russe,Feminin,0,Fonctionaire,562759.0
Cisse,58.0,anglais,Masculin,3,Fonctionaire,205970.0
Sherif,61.0,Russe,Masculin,1,Fonctionaire,663219.0
Robert,30.0,Espagnol,Feminin,6,Fonctionaire,283756.0
Robert,46.0,Allemand,Masculin,4,Cadre superieur,182007.0
George,28.0,Allemand,Masculin,4,Cadre superieur,453758.0
Rebeca,37.0,chinois,Feminin,4,Independant,679867.0
George,35.0,francais,Masculin,0,Retraite,90950.0
Robert,,Espagnol,Masculin,5,Retraite,611178.0
Fatima,33.0,Espagnol,Feminin,5,Cadre superieur,566543.0
Moussa,62.0,arabe,Masculin,7,Retraite,203282.0
Rebeca,42.0,Russe,Feminin,3,Cadre superieur,252738.0
Cisse,86.0,Allemand,Masculin,3,Fonctionaire,167293.0
Fatima,88.0,Espagnol,Feminin,1,Retraite,842029.0
Cisse,84.0,francais,Feminin,0,Retraite,899067.0
